id,dni,first_name,last_name,phone,emergency_phone,gender,birth_date,status,lunch_sandwich,dinner_sandwich
71,12345748Y,Ignacio,Bravo,600111071,699111071,male,1999-10-13,not_presented,queso,vegano
72,12345749Z,Beatriz,Romero,600111072,699111072,female,1992-09-17,not_presented,jamón,no quiere
73,12345750A,Rafael,Gil,600111073,699111073,male,1980-11-30,not_presented,atún,queso
74,12345751B,Raquel,Ortiz,600111074,699111074,female,2004-05-08,not_presented,fuet,atún
75,12345752C,Alberto,Fernández,600111075,699111075,male,1996-01-22,not_presented,vegano,no quiere
76,12345753D,Teresa,Martín,600111076,699111076,female,1983-02-15,not_presented,queso,fuet
77,12345754E,Carlos,Suárez,600111077,699111077,male,1977-08-05,not_presented,no quiere,jamón
78,12345755F,Marta,Hernández,600111078,699111078,female,1990-07-21,not_presented,jamón,vegano
79,12345756G,Andrés,Vargas,600111079,699111079,male,1982-01-14,not_presented,atún,fuet
80,12345757H,Patricia,Ruiz,600111080,699111080,female,1989-03-28,not_presented,fuet,no quiere
81,12345758J,Juanjo,Tornillos,600111081,699111081,male,1975-09-25,not_presented,queso,vegano
82,12345759K,Helena,Cano,600111082,699111082,female,1995-12-18,not_presented,no quiere,queso
83,12345760L,Guillermo,Prado,600111083,699111083,male,2002-11-02,not_presented,vegano,atún
84,12345761M,Isabel,Ferrero,600111084,699111084,female,1993-10-10,not_presented,atún,queso
85,12345762N,Jaime,Puertas,600111085,699111085,male,1987-07-07,not_presented,jamón,fuet
86,12345763P,Natalia,León,600111086,699111086,female,2001-04-14,not_presented,queso,vegano
87,12345764Q,Fernando,Campos,600111087,699111087,male,1985-05-19,not_presented,atún,no quiere
88,12345765R,Elena,Sanz,600111088,699111088,female,1999-06-06,not_presented,fuet,queso
89,12345766S,Ricardo,Molina,600111089,699111089,male,1983-02-02,not_presented,vegano,atún
90,12345767T,Ana,Garrido,600111090,699111090,female,1976-03-03,not_presented,no quiere,jamón
91,12345768U,Santiago,Rojas,600111091,699111091,male,1994-04-04,not_presented,queso,fuet
92,12345769V,Sara,Esteban,600111092,699111092,female,1981-05-05,not_presented,jamón,queso
93,12345770W,Adrián,Moreno,600111093,699111093,male,1988-06-06,not_presented,no quiere,atún
94,12345771X,Inés,Díaz,600111094,699111094,female,2000-07-07,not_presented,fuet,vegano
95,12345772Y,Ángel,Ramos,600111095,699111095,male,1982-08-08,not_presented,atún,queso
96,12345773Z,Laura,Pérez,600111096,699111096,female,2003-09-09,not_presented,vegano,no quiere
97,12345774A,Pablo,García,600111097,699111097,male,2008-10-10,not_presented,queso,fuet
98,12345775B,Lidia,Gómez,600111098,699111098,female,2009-11-11,not_presented,jamón,atún
99,12345776C,Cristian,Martínez,600111099,699111099,male,2007-12-12,not_presented,fuet,vegano
100,12345777D,Alba,Lozano,600111100,699111100,female,2010-01-01,not_presented,no quiere,queso
